Year,Region,Event_Type,Impact_Level,Casualties,Economic_Loss,Description
1963,Europe,War,High,288389,131475314,A war occurred in Europe around 1963 with high impact.
1857,Asia,Reform,Low,0,0,A reform occurred in Asia around 1857 with low impact.
1973,Oceania,Peace Treaty,Low,0,0,A peace treaty occurred in Oceania around 1973 with low impact.
1951,South America,War,Low,98246,117380369,A war occurred in South America around 1951 with low impact.
1859,Africa,Peace Treaty,Low,0,0,A peace treaty occurred in Africa around 1859 with low impact.
1943,Asia,Reform,High,0,0,A reform occurred in Asia around 1943 with high impact.
1979,Africa,Discovery,Low,0,0,A discovery occurred in Africa around 1979 with low impact.
1914,Africa,Economic Crisis,Low,0,407381601,A economic crisis occurred in Africa around 1914 with low impact.
2006,Asia,Reform,Medium,0,0,A reform occurred in Asia around 2006 with medium impact.
1887,North America,Revolution,Low,800581,0,A revolution occurred in North America around 1887 with low impact.
1886,Europe,War,Medium,101414,192725585,A war occurred in Europe around 1886 with medium impact.
2016,North America,Peace Treaty,Medium,0,0,A peace treaty occurred in North America around 2016 with medium impact.
2006,Europe,Reform,Medium,0,0,A reform occurred in Europe around 2006 with medium impact.
1937,Europe,Discovery,Low,0,0,A discovery occurred in Europe around 1937 with low impact.
1941,North America,Pandemic,High,648564,0,A pandemic occurred in North America around 1941 with high impact.
2020,North America,Peace Treaty,Low,0,0,A peace treaty occurred in North America around 2020 with low impact.
1980,Europe,War,High,238968,415037905,A war occurred in Europe around 1980 with high impact.
1874,Europe,Pandemic,Low,908573,0,A pandemic occurred in Europe around 1874 with low impact.
1825,South America,Economic Crisis,Medium,0,341280485,A economic crisis occurred in South America around 1825 with medium impact.
2013,North America,Revolution,Medium,372528,0,A revolution occurred in North America around 2013 with medium impact.
1853,Oceania,Economic Crisis,High,0,366976859,A economic crisis occurred in Oceania around 1853 with high impact.
1965,Europe,Peace Treaty,High,0,0,A peace treaty occurred in Europe around 1965 with high impact.
1843,Africa,Reform,Low,0,0,A reform occurred in Africa around 1843 with low impact.
1841,South America,Discovery,Medium,0,0,A discovery occurred in South America around 1841 with medium impact.
1963,Oceania,Peace Treaty,Low,0,0,A peace treaty occurred in Oceania around 1963 with low impact.
1975,North America,Pandemic,Low,240174,0,A pandemic occurred in North America around 1975 with low impact.
2010,Europe,Pandemic,Medium,420651,0,A pandemic occurred in Europe around 2010 with medium impact.
1868,Europe,Revolution,High,918938,0,A revolution occurred in Europe around 1868 with high impact.
1983,North America,Revolution,High,523481,0,A revolution occurred in North America around 1983 with high impact.
1901,Oceania,Discovery,Low,0,0,A discovery occurred in Oceania around 1901 with low impact.
1867,Asia,Revolution,High,588637,0,A revolution occurred in Asia around 1867 with high impact.
1937,North America,Reform,High,0,0,A reform occurred in North America around 1937 with high impact.
1909,Africa,Discovery,Medium,0,0,A discovery occurred in Africa around 1909 with medium impact.
1856,Asia,Peace Treaty,Medium,0,0,A peace treaty occurred in Asia around 1856 with medium impact.
1823,Middle East,War,Low,160265,336857528,A war occurred in Middle East around 1823 with low impact.
1840,Middle East,Reform,Medium,0,0,A reform occurred in Middle East around 1840 with medium impact.
1952,Europe,Discovery,Medium,0,0,A discovery occurred in Europe around 1952 with medium impact.
1952,South America,Peace Treaty,Medium,0,0,A peace treaty occurred in South America around 1952 with medium impact.
1941,Middle East,War,High,755731,61499497,A war occurred in Middle East around 1941 with high impact.
1974,Africa,Pandemic,Medium,805934,0,A pandemic occurred in Africa around 1974 with medium impact.
1964,North America,War,Medium,455884,84910297,A war occurred in North America around 1964 with medium impact.
1916,Europe,Reform,High,0,0,A reform occurred in Europe around 1916 with high impact.
1867,Africa,Pandemic,Low,532342,0,A pandemic occurred in Africa around 1867 with low impact.
1827,Middle East,Reform,Medium,0,0,A reform occurred in Middle East around 1827 with medium impact.
2015,Oceania,Peace Treaty,High,0,0,A peace treaty occurred in Oceania around 2015 with high impact.
